Name,improved,unimproved,cash_val,machine_val,horse,mules,milkcow,oxen,cattle,sheep,swine,livestock_val,wheat,bye,corn,oats,rice,tobacco,cotton,wool,peas,potatos,sweetpotatos,barley,buckwheat,orchid_val,wine,grain_val,butter,cheese,hay,clover,grass,hops,hemp_dewrot,hemp_waterrot,hemp_other,flax,flaxseed,silk,maplesugar,canesugar,molasses,beewax,honey,manufactures_val,animals_val,pg_num,rown,year,town
Carlos Garris,38,11,1200,50,2,0,1,0,4,0,0,210,8,80,30,85,0,0,0,0,2,250,0,0,5,0,0,0,150,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,57,1,1860,Middlebury
Laray Tuylor,38,20,1500,75,0,0,2,0,0,0,0,60,10,22,10,20,0,0,0,0,0,25,0,0,0,0,0,0,300,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,57,2,1860,Middlebury
Alviru Dow,75,25,3000,25,1,0,3,0,5,14,0,300,6,40,85,100,0,0,0,0,0,125,0,0,0,5,0,0,400,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,57,3,1860,Middlebury
A. F. Semmel,110,10,5000,200,3,0,3,2,1,41,2,594,50,30,100,250,0,0,0,250,20,500,0,0,0,16,0,0,600,0,30,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,48,57,4,1860,Middlebury
Charles London,60,3,2100,50,2,0,2,0,0,30,0,380,8,12,15,0,0,0,0,120,2,60,0,0,0,3,0,0,250,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57,5,1860,Middlebury
Charles Fullings,35,90,2000,79,1,0,2,0,3,33,1,242,12,10,75,52,0,0,0,20,0,50,0,0,0,8,0,0,300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,57,6,1860,Middlebury
Janual A Yummer,32,8,600,25,1,0,2,0,0,4,1,100,0,10,50,26,0,0,0,0,2,58,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57,7,1860,Middlebury
Jane Nash,45,35,800,175,2,0,1,0,1,0,1,225,20,40,25,25,0,0,0,0,0,100,0,0,0,0,0,0,150,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,57,8,1860,Middlebury
Horal low,150,20,5000,150,2,0,4,0,6,75,1,815,49,40,100,90,0,0,0,450,0,175,0,0,0,20,0,0,300,0,60,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,30,57,9,1860,Middlebury
Nelson Chittendon,90,10,3000,100,1,0,3,0,0,45,1,380,0,12,90,50,0,0,0,180,0,75,0,0,0,5,0,0,400,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57,10,1860,Middlebury
