rown,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,rown2
1,,,,,,,,,150,,15,,,,,,,,,,,,,,,,30,1
2,,130,,,,,,,600,,20,,,,,,,,,,,,,,,,60,2
3,,100,,,,,,,,,60,,,,,,,,,,,,,,,,50,3
4,,200,,,,,,,700,,50,,,,,,,,,,,,,,,,100,4
5,,200,,,,,,,600,,10,,,,,,,,,,,,,,,,40,5
6,,125,,,,25,,,150,,45,,,,,,,,,,,,,,,,150,6
7,20,250,,,,,,,500,,50,,,,,,,,,,,,,,,,90,7
8,50,100,,,,5,,,300,,15,,,,,,,,,,,,,,,,75,8
9,,150,,,,,,,300,,6,,,,,,,,,,,,,,,,28,9
10,,80,,,,30,,,500,,35,,,,,,,,,,,,,,,,75,10
11,,25,,,,,,,40,,15,,,,,,,,,,,,,,,,35,11
12,,45,,,,,,,150,,20,,,,,,,,,,,,,,,,28,12
13,,50,,,,,,,200,,8,,,,,,,,,,,,,,,,30,13
14,,49,,,,,,,200,,8,,,,,,,,,,,,,,,,35,14
15,4,100,,,15,,,,250,,30,,,,,,,,,,,,,,50,,80,15
16,10,100,,,,,,,200,,12,,,,,,,,,,,,,,,,60,16
17,,300,,,,,,,600,,30,,,,,,,,,,,,,,40,,80,17
18,6,75,,,,,,,100,,8,,,,,,,,,,,,,,50,,10,18
19,26,75,,,,,,,300,800,20,,,,,,,,,,,,,,,,42,19
20,,75,,,,,,,1000,1000,65,,,,,,,,,,,,,,,,,20
21,80,60,,,,30,,,300,,30,,,,,,,,,,,,,,,,40,21
22,3,50,,,,,,,400,,5,,,,,,,,,,,,,,,,42,22
23,3,100,,,,,,,300,,9,,,,,,,,,,500,,,,,,35,23
24,,50,,,,,,,400,,10,,,,,,,,,,,,,,,,16,24
25,,50,,,,,,,400,200,40,,,,,,,,,,,,,,,,35,25
26,,125,,,,,,,600,600,80,,,,,,,,,,,,,,,,130,26
27,,100,,,,,,,300,200,30,,,,,,,,,,,,,,,,75,27
28,,75,,,,,,,200,,10,,,,,,,,,,,,,,,,40,28
29,,75,,,12,,,,400,,16,,,,,,,,,,,,,,,,75,29
30,2,200,,,,,,,200,,3,,,,,,,,,,,,,,,,56,30
31,,50,,,12,,,,150,,4,,,,,,,,,,,,,,,,30,31
32,,75,,,15,,,,300,,5,,,,,,,,,,40,,,,,,25,32
33,,60,,,,,,,500,,9,,,,,,,,,,,,,,,,35,33
34,2,70,,,,25,,,300,150,30,,,,,,,,,,,,,,,,77,34
35,4,125,,,4,,,,250,,15,,,,,,,,,,,,,,,,56,35
36,,225,,,,80,,,700,,40,,,,,,,,,,,,,,,,66,36
37,,100,,,,40,,,400,100,20,,,,,,,,,,,,,,,,40,37
38,,150,,,,35,,,300,,12,,,,,,,,,,100,,,,,,66,38
39,,300,,,,25,,,700,,10,,,,,,,,,,,,,,,20,95,39
40,,15,,,,,,,400,,10,,,,,,,,,,,,,,18,,42,40
